ID,SEX,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
159,1,3,4,2,5,1,1,2,1,1,2,3,1
160,1,2,2,2,2,2,1,2,3,1,3,2,1
161,1,1,1,2,1,1,1,1,1,3,4,1,1
162,1,1,1,1,1,1,1,1,1,1,1,1,1
163,1,2,2,2,2,2,2,2,2,2,3,2,2
164,1,1,2,3,1,1,1,2,1,4,2,1,1
165,1,2,2,2,2,3, ,2, ,6,2,1,2
166,1,2,2,3,4,1,1,2,1,3,3,1,1
167,1,3,1,2,2,1,1,2,1,4,3,3,2
168,1,4,5,3,6,3,3,3,3,4,6,5,3
169,1,7,2,2,2,2,2,2,2,5,5,3,1
170,1,1,1,1,1,1,3,1, ,5,3,1,1
171,1,2,1,2,4,5,1,1,2,3,3,2,2
172,1,3,4,5,5,2,2,2,2,7,6,6,2
173,1,3,3,4,4,1,1,1,1,3,2,1,2
174,1,3,2,3,3,2,1,1,1,7,3,2,2
175,1,2,1,2,2,2,1,1,1,2,6,2,1
176,1,1,3,1,3,1,1,1,1,2,3,3,2
177,1,2,6,1,3,1,1,1,1,2,1,1,2
178,1,1,1,1,3,1,1,1,1,1,3,1,1
179,1,4,4,4,4,2,2,2,2,5,4,2,2
180,1,1,1,1,1,1,1,1,1,1,1,1,1
181,1,5,4,4,6,1,1,2,1,4,7,3,2
182,1,5,5,5,5,2,2,2,2,5,5,4,2
183,1,2,3,2,6,2,2,1,1,2,2,1,1
184,1,3,6,6,4,2,3,3,3,3,3,3,3
185,1,3,3,3,5,2,2,3,3,4,3,4,3
186,1,2,2,2,3,1,1,1,1,1,1,2,1
187,1,1,1,2,2,1,1,1,1,3,2,1,1
188,1,3,4,3,4,1,1,1,1,3,3,2,1
189,1,4,3,3,4,2,2,2,2,4,5,5,3
190,1,2,2,2,3,2,2,2,2,3,3,2,2
191,1,2,2,2,2,1,1,1,1,1,2,1,1
192,1,7,7,5,7,1,1,1,2,7,7,2,2
193,1,2,2,2,6,2,2,2,2,4,2,2,2
194,1,2,5,7,5,2,1,6,1,5,4,2,1
195,1,4,5,3,5,3,2,2,5,5,5,5,4
196,1,1,1,1,1,1,1,1,1,1,2,1,1
197,1,2,2,2,5,1,1,2,1,4,5,5,1
198,1,5,5,4,6,1,1,3,1,6,4,1,2
199,1,3,2,3,3,1,1,1,1,2,3,1,1
200,1,2,1,1,1,1,1,1,1,2,2,1,1
201,1,3,5,4,5,2,1,1,1,5,4,2,2
202,1,3,3,3,4,3,2,3,2,4,3,3,2
203,1,4,4,3,4,4,2,2,2,5,5,4,2
204,1,5,3,6,2,4,4,3,5,2,3,3,2
205,1,3,1,2,3,3,2,2,2,4,4,2,2
206,1,2,3,1,5,1,1,1,1,1,1,1,1
207,1,1,1,1,1,1,1,1,1,1,1,1,1
208,1,2,3,3,4,2,2,2,2,6,3,2,2
209,1,3,3,5,5,2,2,4,2,5,5,3,3
210,1,3,3,2,2,1,1,1,1,2,3,2,2
211,1,3,3,5,5,3,2,5,2,5,5,5,2
212,1,2,3,2,5,1,1,2,1,5,4,2,1
213,1,3,3,4,5,1,1,2,1,3,3,3,3
214,1,5,2,4,5,1,1,1,1,4,4,1,1
215,1,1,1,1,3,7,1,1,7,4,2,1,1
216,1,6,6,5,6,4,4,4,3,4,5,4,4
